,city,lat,temp F,humidity %,clouds %,wind MPH
0,albany,42.65,8.53,66,20,8.05
1,hilo,19.71,73.04,81,90,8.05
2,butaritari,3.07,83.63,100,76,12.77
3,leningradskiy,69.38,-14.2,88,8,14.45
4,saldanha,41.42,19.37,86,0,3.49
5,sergeyevka,53.88,-0.79,78,36,7.63
6,cape town,-33.93,53.6,100,0,5.82
7,codrington,-28.95,86.52,38,0,12.75
8,upernavik,72.79,-6.28,100,32,5.73
9,kapaa,22.08,78.08,64,40,9.17
10,bluff,-23.58,87.77,53,0,8.63
11,beringovskiy,63.05,-1.65,94,32,22.28
12,ushuaia,-54.81,46.4,49,75,13.87
13,puerto ayora,-0.74,76.39,100,48,9.19
14,busselton,-33.64,74.32,81,0,11.77
15,inhambane,-23.87,79.67,99,48,11.54
16,klaksvik,62.23,44.6,87,88,26.4
17,saskylakh,71.97,-43.18,0,36,3.6
18,nanortalik,60.14,31.07,89,48,43.87
19,grindavik,63.84,34.88,100,75,21.92
20,hobart,-42.88,75.2,19,0,20.8
21,hermanus,-34.42,48.49,100,12,3.15
22,dalby,-27.18,87.8,27,0,11.41
23,port blair,11.67,82.4,83,40,10.29
24,longyearbyen,78.22,8.6,55,20,18.34
25,cururupu,-1.82,73.64,100,92,2.71
26,kavieng,-2.57,81.97,100,64,7.85
27,kaitangata,-46.28,62.8,72,0,9.53
28,barrow,-38.31,61.67,56,0,12.1
29,bodden town,19.28,77.0,83,20,12.75
30,dikson,73.51,-21.31,94,0,17.92
31,turukhansk,65.8,-26.89,42,48,4.16
32,bambous virieux,-20.34,80.6,88,40,6.93
33,namibe,-15.19,73.19,100,8,3.15
34,nantucket,41.28,19.54,40,1,20.8
35,meulaboh,4.14,80.8,100,24,2.71
36,jamestown,-33.21,88.0,44,0,11.77
37,yerbogachen,61.28,-7.5,60,44,6.96
38,bethel,60.79,-23.43,76,1,19.46
39,tuatapere,-46.13,62.93,73,0,5.06
40,torbay,47.66,32.0,97,90,13.87
41,menongue,-14.66,74.36,34,76,7.29
42,yulara,-25.24,107.6,13,0,13.87
43,isangel,-19.55,79.9,100,0,4.61
44,salalah,17.01,73.4,25,0,16.11
45,chuy,-33.69,65.18,90,92,7.18
46,hamilton,43.26,17.56,73,90,4.7
47,ribeira grande,38.52,60.37,100,76,19.82
48,east london,-33.02,64.4,72,75,20.8
49,tasiilaq,65.61,19.4,73,80,10.29
50,lakes entrance,-37.88,86.06,47,8,8.86
51,lulea,65.58,30.2,58,0,19.46
52,laguna,27.52,61.49,83,0,2.71
53,saint-philippe,45.36,3.02,60,1,5.82
54,carnarvon,-30.97,50.11,82,8,5.5
55,iqaluit,63.75,-20.21,68,20,20.8
56,talnakh,69.49,-38.19,77,32,4.27
57,avera,33.19,37.78,59,1,5.82
58,gizo,31.8,42.8,81,0,5.82
59,new norfolk,-42.78,75.2,19,0,20.8
60,jaisinghnagar,23.63,56.36,59,0,7.74
61,saint george,39.45,37.4,93,90,4.7
62,port elizabeth,39.31,25.57,73,1,7.18
63,nabire,-3.36,77.69,87,64,2.59
64,makakilo city,21.35,76.69,64,1,8.05
65,manacor,39.57,33.8,95,40,2.24
66,lokosovo,61.13,-26.71,42,24,2.93
67,kisanga,-11.72,64.28,95,8,6.4
68,labuan,5.28,86.9,70,75,2.24
69,ketchikan,55.34,41.68,95,90,5.82
70,katsuura,33.93,41.61,75,90,8.05
71,avarua,-21.21,80.6,78,75,9.17
72,bilibino,68.06,-20.95,59,12,2.71
73,aykhal,65.95,-23.34,32,24,6.62
74,ponta do sol,-20.63,69.01,78,64,3.38
75,eydhafushi,5.1,81.56,100,0,9.19
76,pevek,69.7,-13.89,86,0,4.38
77,coquimbo,-29.95,59.0,82,0,5.82
78,necochea,-38.55,60.19,69,8,11.77
79,aklavik,68.22,-22.01,74,90,4.7
80,richards bay,-28.77,81.38,60,0,6.96
81,tiarei,-17.53,84.2,74,90,14.99
82,qaanaaq,77.48,-18.16,100,24,10.54
83,vardo,39.62,27.03,58,1,3.38
84,kavaratti,10.57,81.29,100,12,9.75
85,cap malheureux,-19.98,82.4,83,40,11.41
86,kahului,20.89,76.03,69,40,4.7
87,hithadhoo,-0.6,79.04,100,88,0.36
88,kamaishi,39.28,41.0,44,40,11.41
89,shingu,33.72,48.2,93,75,4.7
90,concordia,-31.4,70.67,89,76,9.98
91,dunedin,-45.87,60.46,76,0,7.63
92,belmonte,40.36,27.74,85,0,4.61
93,sorland,67.67,38.54,100,64,24.29
94,saint-augustin,44.83,42.01,93,90,3.36
95,plettenberg bay,-34.05,63.97,100,36,19.26
